GEO.id,GEO.display-label,GOVTYPE.id,GOVTYPE.display-label,PENITEM.id,PENITEM.display-label,AMOUNT
0100000US,United States,1,State and Local ,1,   Total Contributions,167026995
0100000US,United States,1,State and Local ,11,   Employee contributions,45488596
0100000US,United States,1,State and Local ,12,   Government contributions,121538399
0100000US,United States,1,State and Local ,121,   State government contributions,52687366
0100000US,United States,1,State and Local ,122,   Local government contributions,68851033
0100000US,United States,1,State and Local ,2,   Earnings on investments,534421407
0100000US,United States,1,State and Local ,3,   Total payments,272488772
0100000US,United States,1,State and Local ,31,   Benefits,252976168
0100000US,United States,1,State and Local ,32,   Withdrawals,6311177
0100000US,United States,1,State and Local ,39,   Other payments,13201464
0100000US,United States,1,State and Local ,4,   Total cash and investment holdings,3701195677
0100000US,United States,1,State and Local ,41,   Total cash and short-term investments,127943279
0100000US,United States,1,State and Local ,411,   Cash and demand deposits,31692337
0100000US,United States,1,State and Local ,412,"   Time, savings deposits and nonfederal short-term investments",96250941
0100000US,United States,1,State and Local ,42,   Total securities,3073552195
0100000US,United States,1,State and Local ,421,   Governmental securities,314289727
0100000US,United States,1,State and Local ,4211,   Federal government,311821477
0100000US,United States,1,State and Local ,42111,   U.S. Treasury,197020138
0100000US,United States,1,State and Local ,42112,   Federal agency,114801340
0100000US,United States,1,State and Local ,4212,   State and local government,2468254
0100000US,United States,1,State and Local ,422,   Nongovernmental securities,2759262468
0100000US,United States,1,State and Local ,4221,   Corporate bonds,435544231
0100000US,United States,1,State and Local ,4222,   Corporate stocks,1347889625
0100000US,United States,1,State and Local ,4223,   Mortgages,9607333
0100000US,United States,1,State and Local ,4224,   Funds held in trust,69656363
0100000US,United States,1,State and Local ,4225,   Foreign and international securities,743004374
0100000US,United States,1,State and Local ,4229,   Other nongovernmental securities,153560542
0100000US,United States,1,State and Local ,43,   Total other investments,499700203
0100000US,United States,1,State and Local ,431,   Real property,160446396
0100000US,United States,1,State and Local ,432,   Miscellaneous investments,339253807
0100000US,United States,1,State and Local ,6,   Total Membership,19707958
0100000US,United States,1,State and Local ,61,   Active membership,14264807
0100000US,United States,1,State and Local ,62,   Inactive membership,5443151
0100000US,United States,1,State and Local ,7,   Total beneficiaries receiving periodic benefit payments,9559956
0100000US,United States,1,State and Local ,8,   Covered payroll,N
0100000US,United States,1,State and Local ,9,   Pension obligations,N
0100000US,United States,2,State,1,   Total Contributions,130891509
0100000US,United States,2,State,11,   Employee contributions,38174322
0100000US,United States,2,State,12,   Government contributions,92717187
0100000US,United States,2,State,121,   State government contributions,51810630
0100000US,United States,2,State,122,   Local government contributions,40906557
